"1","Begich","Bye","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","234","95","6","164","0"
"01-610 Ketchikan No. 2","360","123","14","241","1"
"01-620 Ketchikan No. 3","324","55","14","148","1"
"01-640 North Tongass No. 1","243","43","2","90","0"
"01-650 North Tongass No. 2","471","72","12","187","0"
"01-660 Saxman","40","16","3","55","0"
"01-670 South Tongass","387","69","7","183","3"
"01-675 Coffman Cove","37","11","0","39","0"
"01-680 Metlakatla","166","63","11","167","0"
"01-690 Wrangell","387","71","7","218","2"
"02-700 Angoon","34","20","4","74","0"
"02-705 Craig","162","51","3","117","0"
"02-720 Hoonah","101","26","1","125","0"
"02-725 Hydaburg","17","9","1","42","0"
"02-730 Kake","31","14","1","78","0"
"02-735 Kasaan","9","6","1","12","0"
"02-740 Klawock","132","43","2","102","2"
"02-750 Pelican-Elfin Cove","14","9","0","15","0"
"02-755 Petersburg-Kupreanof","419","109","5","328","0"
"02-760 Port Alexander","5","4","0","6","0"
"02-765 Sitka No. 1","445","194","5","430","2"
"02-770 Sitka No. 2","411","172","8","480","1"
"02-775 Tenakee Springs","12","12","0","20","0"
"02-780 Thorne Bay","86","24","0","50","1"
"02-785 Yakutat","67","44","2","67","0"
"03-300 Auke Bay","309","74","1","160","0"
"03-305 Lynn Canal","243","80","0","150","1"
"03-310 Melvin Park","277","97","2","174","1"
"03-315 Mendenhall Glacier","487","171","1","275","0"
"03-320 Thunder Mountain","434","114","0","304","0"
"03-325 Gustavus","58","36","0","95","0"
"03-330 Haines No. 1","290","125","3","250","1"
"03-335 Haines No. 2","50","23","1","41","0"
"03-340 Klukwan","17","12","0","16","0"
"03-345 Skagway","128","86","0","136","0"
"04-100 Douglas","209","115","4","243","0"
"04-105 Juneau Airport Area","151","38","5","97","2"
"04-110 Juneau No. 1","223","94","5","204","1"
"04-115 Juneau No. 2","168","119","3","276","0"
"04-120 Juneau No. 3","126","54","2","115","2"
"04-125 Lemon Creek","241","77","5","163","2"
"04-130 Glacier Valley Area","219","85","2","109","1"
"04-135 North Douglas","202","90","1","197","0"
"05-800 Chiniak","9","6","0","23","0"
"05-810 Flats","212","84","8","123","1"
"05-815 Kodiak Island South","11","1","0","5","0"
"05-820 Kodiak No. 1","244","90","7","169","0"
"05-825 Kodiak No. 2","235","75","14","170","1"
"05-830 Mission Road","637","166","10","348","0"
"05-835 Old Harbor","11","4","1","11","0"
"05-840 Ouzinkie","11","6","0","32","0"
"05-845 Port Lions","22","5","2","24","0"
"05-860 Cordova","247","88","3","176","1"
"05-865 Seward-Lowell Point","279","93","10","176","1"
"05-870 Tatitlek","4","3","1","9","0"
"06-200 Anchor Point","544","119","1","232","1"
"06-210 Diamond Ridge","240","92","3","151","0"
"06-220 Fox River","179","35","1","71","0"
"06-230 Homer No. 1","345","133","5","252","1"
"06-240 Homer No. 2","337","111","1","209","0"
"06-250 Kachemak-Fritz Creek","383","136","4","267","0"
"06-260 Kasilof","669","169","6","326","3"
"06-270 Ninilchik","316","87","5","168","4"
"06-280 Seldovia-Kachemak Bay","73","28","0","69","0"
"07-005 Central","502","89","1","215","2"
"07-010 K Beach","667","114","4","263","1"
"07-015 Kenai No. 1","531","118","1","222","1"
"07-020 Kenai No. 2","306","60","1","134","0"
"07-025 Kenai No. 3","280","43","0","105","0"
"07-030 Soldotna","561","120","4","260","3"
"08-035 Bear Creek","344","112","10","170","0"
"08-040 Cooper Landing","74","28","1","38","0"
"08-045 Funny River No. 1","233","53","6","103","1"
"08-050 Funny River No. 2","245","55","6","79","0"
"08-055 Hope","24","17","0","23","0"
"08-060 Mackey Lake","429","70","6","165","0"
"08-065 Moose Pass","65","25","0","48","0"
"08-070 Nikiski","572","83","17","176","2"
"08-075 Salamatof","623","99","14","163","1"
"08-080 Sterling No. 1","512","83","9","166","1"
"08-085 Sterling No. 2","570","95","6","207","0"
"09-105 Girdwood","244","205","5","260","0"
"09-110 Indian","56","24","3","40","0"
"09-115 South Anchorage No. 1","681","163","9","250","0"
"09-120 South Anchorage No. 2","807","154","6","225","1"
"09-125 South Anchorage No. 3","671","146","9","249","0"
"09-130 South Anchorage No. 4","739","147","4","246","0"
"09-135 South Anchorage No. 5","290","72","3","118","0"
"09-140 Stuckagain Heights","85","20","2","45","0"
"09-145 Whittier","48","10","2","34","0"
"10-150 Dimond","304","133","4","195","1"
"10-155 Oceanview No. 1","524","147","4","251","1"
"10-160 Oceanview No. 2","396","99","6","199","3"
"10-165 Oceanview No. 3","495","152","3","254","3"
"10-170 Oceanview No. 4","478","119","2","202","0"
"10-175 Oceanview No. 5","331","84","5","200","0"
"11-205 Hillside No. 1","273","86","1","140","0"
"11-210 Hillside No. 2","614","169","1","247","2"
"11-215 Hillside No. 3","406","75","0","133","1"
"11-220 Hillside No. 4","425","78","1","155","0"
"11-225 Hillside No. 5","411","88","2","192","1"
"11-230 Hillside No. 6","557","136","0","163","0"
"11-235 Hillside No. 7","360","86","0","147","0"
"12-250 Southeast Anchorage No. 1","379","165","7","183","1"
"12-255 Southeast Anchorage No. 2","289","71","1","133","0"
"12-260 Southeast Anchorage No. 3","366","117","7","184","1"
"12-265 Southeast Anchorage No. 4","404","136","2","171","2"
"12-270 Southeast Anchorage No. 5","482","172","6","228","1"
"12-275 Southeast Anchorage No. 6","474","147","1","201","1"
"13-305 South Midtown No. 1","97","39","1","51","0"
"13-310 South Midtown No. 2","536","151","5","244","2"
"13-315 South Midtown No. 3","538","187","7","251","2"
"13-320 South Midtown No. 4","402","161","11","215","2"
"13-325 South Midtown No. 5","400","181","16","240","2"
"14-350 North Midtown No. 1","120","61","2","110","0"
"14-355 North Midtown No. 2","161","84","0","119","1"
"14-360 North Midtown No. 3","129","61","1","101","0"
"14-365 North Midtown No. 4","154","98","1","129","1"
"14-370 North Midtown No. 5","310","149","9","257","3"
"14-375 North Midtown No. 6","216","100","4","140","0"
"14-380 North Midtown No. 7","428","169","0","302","1"
"15-405 Southwest Anchorage No. 1","360","91","0","144","1"
"15-410 Southwest Anchorage No. 2","448","105","0","173","0"
"15-415 Southwest Anchorage No. 3","541","134","2","232","2"
"15-420 Southwest Anchorage No. 4","339","134","4","178","0"
"15-425 Southwest Anchorage No. 5","425","141","0","203","1"
"15-430 Southwest Anchorage No. 6","706","160","1","277","1"
"16-450 West Anchorage No. 1","283","122","1","250","0"
"16-455 West Anchorage No. 2","329","143","5","210","0"
"16-460 West Anchorage No. 3","490","175","4","301","1"
"16-465 West Anchorage No. 4","269","71","4","138","3"
"16-470 West Anchorage No. 5","490","142","7","224","1"
"16-475 West Anchorage No. 6","433","125","2","169","2"
"16-480 West Anchorage No. 7","277","110","4","146","0"
"17-505 Downtown Anchorage No. 1","171","78","11","112","0"
"17-510 Downtown Anchorage No. 2","212","111","3","210","2"
"17-515 Downtown Anchorage No. 3","181","73","2","107","0"
"17-520 Downtown Anchorage No. 4","254","138","9","211","3"
"17-525 Downtown Anchorage No. 5","192","98","5","128","0"
"17-530 Downtown Anchorage No. 6","106","57","6","128","0"
"17-535 Downtown Anchorage No. 7","161","86","10","137","2"
"18-550 Government Hill","135","80","4","124","0"
"18-555 JBER","268","109","1","105","0"
"18-560 North Muldoon","146","57","1","91","1"
"18-565 Ship Creek","27","23","1","36","0"
"19-605 Airport Heights No. 1","296","144","3","287","3"
"19-610 Airport Heights No. 2","300","116","2","198","0"
"19-615 Mountainview No. 1","128","48","3","124","1"
"19-620 Mountainview No. 2","122","42","0","82","1"
"19-625 South Mountainview","205","58","2","103","1"
"20-650 University No. 1","97","41","1","74","2"
"20-655 University No. 2","350","164","4","184","0"
"20-660 University No. 3","407","171","5","219","2"
"20-665 University No. 4","180","76","2","106","1"
"20-670 University No. 5","664","206","9","352","2"
"21-705 East Anchorage No. 1","375","151","7","211","5"
"21-710 East Anchorage No. 2","468","123","7","188","0"
"21-715 East Anchorage No. 3","552","175","12","275","4"
"21-720 East Anchorage No. 4","442","149","11","237","2"
"21-725 East Anchorage No. 5","630","203","13","303","2"
"22-750 Northeast Anchorage No. 1","349","123","5","227","0"
"22-755 Northeast Anchorage No. 2","334","112","3","197","3"
"22-760 Northeast Anchorage No. 3","400","141","4","255","1"
"22-765 Northeast Anchorage No. 4","242","100","1","131","0"
"23-805 Chugach Park No. 1","774","189","1","282","1"
"23-810 Eagle River No. 1","491","111","1","173","0"
"23-815 Eagle River No. 2","450","123","5","154","0"
"23-820 Hiland","470","95","1","132","0"
"23-825 Meadow Creek No. 1","505","137","0","225","2"
"23-830 Meadow Creek No. 2","338","73","1","106","0"
"24-850 Chugach Park No. 2","547","97","6","164","2"
"24-855 Chugiak","235","47","0","87","1"
"24-860 Eagle River No. 3","357","108","5","141","0"
"24-865 Eklutna","519","100","5","146","1"
"24-870 Fire Lake","574","109","4","148","1"
"24-875 Peters Creek No. 1","780","130","3","173","1"
"24-880 Peters Creek No. 2","383","71","2","135","2"
"25-305 Butte","852","131","4","229","2"
"25-310 Greater Palmer","385","66","2","130","0"
"25-315 Lazy Mountain","521","99","5","151","1"
"25-320 Palmer City No. 1","351","107","6","158","0"
"25-325 Palmer City No. 2","299","93","5","106","3"
"25-330 Springer Loop","473","99","1","178","0"
"25-335 Walby","494","106","4","118","2"
"26-350 Fairview No. 1","378","37","1","100","0"
"26-355 Fairview No. 2","240","36","1","88","1"
"26-360 Knik Goose Bay No. 1","657","128","3","249","3"
"26-365 Knik Goose Bay No. 2","458","88","2","133","0"
"26-370 Knik Goose Bay No. 3","266","49","2","95","1"
"26-375 Mat-Su Campus","423","85","1","134","0"
"26-380 Snowshoe","668","113","8","196","2"
"27-405 Foothills","435","82","2","122","0"
"27-410 Meadow Lakes No. 1","633","111","5","222","3"
"27-415 Meadow Lakes No. 2","510","74","2","168","1"
"27-420 Wasilla No. 1","476","85","4","152","1"
"27-425 Wasilla No. 2","660","105","3","214","3"
"28-450 Lakes No. 1","368","62","6","118","1"
"28-455 Lakes No. 2","289","51","2","96","0"
"28-460 Seldon No. 1","533","75","7","152","3"
"28-465 Seldon No. 2","659","147","11","208","3"
"28-470 Seward Meridian","284","47","4","89","0"
"28-475 Trunk","509","94","4","147","2"
"28-480 Wasilla Lake","245","33","7","99","0"
"29-505 Farm Loop","680","130","7","183","6"
"29-510 Fishhook","880","137","11","274","1"
"29-515 Kings Lake","591","112","6","181","0"
"29-520 Lakes No. 3","257","48","2","72","0"
"29-525 Sheep Mountain","88","12","2","26","0"
"29-530 Sutton","268","49","4","147","0"
"29-535 Valdez No. 1","227","66","2","121","1"
"29-540 Valdez No. 2","121","38","2","71","0"
"29-545 Valdez No. 3","180","49","10","114","0"
"30-550 Anderson/Clear","68","14","2","38","0"
"30-555 Big Lake","701","134","5","277","5"
"30-560 Cantwell","38","13","0","36","0"
"30-565 Denali Park","20","25","0","34","0"
"30-570 East Schrock","56","9","1","30","0"
"30-575 Healy","187","66","2","79","0"
"30-580 Houston","321","79","8","156","1"
"30-585 Knik Goose Bay No. 4","647","112","2","209","4"
"30-590 Trapper Creek","80","16","0","65","0"
"30-595 Susitna","255","74","4","141","1"
"30-600 Talkeetna","125","81","2","112","0"
"30-605 Willow","511","134","6","287","3"
"31-446 Aurora","453","167","3","232","0"
"31-455 Fairbanks No. 1","462","188","4","257","1"
"31-480 Fairbanks No. 2","485","150","6","232","1"
"31-485 Fairbanks No. 3","345","173","1","207","5"
"32-355 Fairbanks No. 4","342","135","6","183","2"
"32-365 Fairbanks No. 5","292","105","4","151","0"
"32-375 Fort Wainwright","73","43","0","16","0"
"32-385 Badger No. 2","614","143","7","237","0"
"33-130 Badger No. 1","594","150","5","219","1"
"33-135 Chena Lakes","601","126","6","217","2"
"33-155 Moose Creek","60","18","3","35","0"
"33-165 Newby","741","163","6","228","2"
"33-175 North Pole","339","75","3","116","1"
"33-183 Plack","651","130","5","170","0"
"34-235 Eielson","105","41","2","34","0"
"34-238 Eielson Farm Road","38","9","0","11","0"
"34-240 Farmers Loop","411","191","3","274","0"
"34-260 Salcha","245","61","0","124","0"
"34-263 Steele Creek","579","194","6","225","2"
"34-265 Steese","596","185","1","255","1"
"34-270 Summit","458","160","3","195","1"
"34-280 Two Rivers","257","94","3","119","1"
"35-580 Airport","169","52","1","70","0"
"35-582 Chena","756","234","2","329","1"
"35-584 Ester","263","120","0","194","1"
"35-586 Geist","282","106","2","147","0"
"35-587 Lakeview","50","23","0","43","0"
"35-592 Shanly","171","95","0","118","1"
"35-595 University Hills","281","135","0","172","0"
"35-596 University West","661","201","1","348","0"
"36-001 Goldstream No. 1","315","130","6","184","0"
"36-002 Goldstream No. 2","308","183","2","205","1"
"36-010 Allakaket","18","4","0","34","0"
"36-014 Anvik","7","7","1","12","0"
"36-018 Arctic Village","9","6","0","17","0"
"36-022 Beaver","10","8","0","6","0"
"36-026 Bettles","8","3","0","5","0"
"36-034 Central","17","7","1","16","0"
"36-038 Chistochina","28","4","0","38","0"
"36-042 Circle","7","1","1","12","1"
"36-046 Copper Center","172","34","5","67","0"
"36-050 Delta Junction","203","30","5","63","0"
"36-054 Deltana","704","108","16","217","4"
"36-058 Dot Lake","24","2","0","15","0"
"36-062 Eagle","22","1","0","21","1"
"36-066 Fort Yukon","38","18","2","71","0"
"36-070 Gakona","49","6","0","24","0"
"36-074 Galena","50","22","0","60","0"
"36-078 Glennallen","85","22","2","39","0"
"36-082 Grayling","12","6","1","30","1"
"36-086 Holy Cross","14","5","0","11","1"
"36-090 Hughes","11","10","2","9","0"
"36-094 Huslia","31","12","0","35","0"
"36-098 Kaltag","8","3","0","36","0"
"36-102 Kenny Lake","83","22","2","46","0"
"36-106 Koyukuk","6","9","1","17","0"
"36-110 Manley","18","5","0","21","1"
"36-114 McGrath","47","6","1","28","0"
"36-118 Mentasta","8","3","0","20","0"
"36-122 Minto","13","13","0","18","1"
"36-126 Nenana","143","41","4","83","0"
"36-130 Nikolai","14","9","0","16","0"
"36-134 Northway","30","5","3","38","0"
"36-138 Nulato","29","4","0","33","1"
"36-142 Ruby","12","3","0","20","0"
"36-146 Shageluk","5","4","0","13","0"
"36-162 Tanana","13","10","0","40","0"
"36-166 Tetlin","15","6","0","3","0"
"36-170 Tok","255","44","1","171","1"
"36-174 Venetie","7","2","1","33","1"
"37-700 Akutan","20","8","2","15","3"
"37-702 Aleknagik","16","9","3","23","0"
"37-704 Aleutians No. 1","10","3","0","7","0"
"37-706 Aleutians No. 2","199","62","15","155","2"
"37-707 Aniak","35","29","3","29","0"
"37-708 Chignik","4","0","0","6","0"
"37-709 Chuathbaluk","10","5","1","4","1"
"37-710 Clark's Point","4","7","0","1","0"
"37-712 Cold Bay","10","3","0","1","0"
"37-713 Crooked Creek","5","2","0","5","0"
"37-714 Dillingham","218","112","12","235","0"
"37-716 Egegik","1","0","0","4","0"
"37-718 Ekwok","12","6","1","15","0"
"37-719 Goodnews Bay","32","6","0","11","0"
"37-720 King Cove","55","15","2","39","1"
"37-722 King Salmon","56","7","1","37","0"
"37-724 Koliganek","16","8","3","29","1"
"37-726 Lake Iliamna No. 1","55","15","3","27","0"
"37-728 Lake Iliamna No. 2","25","14","2","19","0"
"37-730 Levelock","1","1","0","7","0"
"37-731 Lower Kalskag","26","12","1","12","0"
"37-732 Manokotak","46","11","2","20","1"
"37-734 Naknek","58","17","4","53","0"
"37-736 New Stuyahok","49","30","6","62","1"
"37-738 Nondalton","18","10","1","10","1"
"37-740 Pedro Bay","5","1","0","2","0"
"37-742 Port Heiden","11","4","0","8","0"
"37-744 Sand Point","69","5","3","19","1"
"37-746 Sleetmute","10","7","2","7","0"
"37-748 South Naknek","5","1","1","11","1"
"37-752 St. Paul Island","31","8","4","54","0"
"37-754 Togiak","54","31","1","41","1"
"37-756 Tyonek","6","3","1","15","0"
"37-758 Upper Kalskag","15","9","6","19","0"
"38-800 Akiachak","40","22","2","67","0"
"38-802 Akiak","35","11","2","71","0"
"38-806 Atmautluak","22","16","0","8","0"
"38-808 Bethel No. 1","183","117","2","205","1"
"38-810 Bethel No. 2","215","114","1","248","0"
"38-812 Chefornak","26","21","2","45","0"
"38-813 Chevak","60","31","3","48","2"
"38-818 Eek","50","26","0","4","0"
"38-822 Kasigluk","43","15","0","15","0"
"38-824 Kipnuk","46","24","2","51","3"
"38-826 Kongiganak","55","25","0","2","4"
"38-828 Kwethluk","39","51","0","67","1"
"38-830 Kwigillingok","24","7","0","25","0"
"38-836 Mekoryuk","21","21","0","21","1"
"38-838 Napakiak","42","19","1","13","2"
"38-840 Napaskiak","42","30","0","25","2"
"38-842 Newtok","11","5","1","12","0"
"38-844 Nightmute","17","6","2","18","0"
"38-846 Nunapitchuk","36","23","1","51","2"
"38-848 Quinhagak","44","27","2","57","0"
"38-852 Toksook Bay","57","42","0","51","3"
"38-854 Tuluksak","35","16","1","7","1"
"38-856 Tuntutuliak","58","33","2","35","3"
"38-858 Tununak","26","13","0","43","0"
"39-900 Alakanuk","42","21","2","32","2"
"39-902 Brevig Mission","53","14","0","56","2"
"39-906 Diomede","10","0","0","1","1"
"39-908 Elim","38","12","0","26","1"
"39-910 Emmonak","46","14","1","74","3"
"39-912 Gambell","59","15","6","60","2"
"39-914 Golovin","16","12","0","14","0"
"39-916 Hooper Bay","56","20","2","82","1"
"39-918 Kotlik","38","17","0","32","1"
"39-920 Koyuk","35","11","1","32","1"
"39-921 Marshall","46","25","1","25","0"
"39-922 Mountain Village","49","25","1","39","1"
"39-924 Nome No. 1","147","60","1","110","0"
"39-926 Nome No. 2","217","97","2","189","1"
"39-928 Nunam Iqua","12","4","0","14","0"
"39-930 Pilot Station","39","18","0","26","1"
"39-931 Russian Mission","25","13","1","35","1"
"39-932 Savoonga","74","47","1","23","0"
"39-934 Scammon Bay","56","29","0","23","4"
"39-936 Shaktoolik","25","9","0","21","1"
"39-938 Shishmaref","72","39","3","69","0"
"39-940 St. Mary's","45","25","1","49","1"
"39-942 St. Michael","30","13","0","29","1"
"39-944 Stebbins","64","12","0","4","3"
"39-946 Teller","17","9","0","11","0"
"39-948 Unalakleet","80","50","0","75","1"
"39-950 Wales","11","5","0","4","0"
"39-952 White Mountain","27","10","0","23","1"
"40-004 Anaktuvuk Pass","18","11","1","23","1"
"40-006 Atqasuk","12","5","0","14","0"
"40-008 Utqiagvik","60","61","5","79","0"
"40-010 Browerville","207","117","7","186","3"
"40-012 Buckland","29","13","3","33","0"
"40-014 Deering","16","7","0","9","0"
"40-016 Kaktovik","32","6","0","37","0"
"40-020 Kivalina","29","2","5","31","0"
"40-024 Kotzebue","215","110","7","183","0"
"40-026 Noatak","44","12","1","44","1"
"40-030 Nuiqsut","16","9","1","20","0"
"40-032 Point Hope","46","10","0","34","0"
"40-034 Point Lay","13","8","0","8","0"
"40-036 Selawik","36","11","0","33","1"
"40-038 Shungnak","30","10","0","26","0"
"40-040 Wainwright","51","8","1","41","0"
"District 1 - Absentee","878","246","21","596","7"
"District 1 - Early Voting","7","4","1","2","0"
"District 1  - Question","144","59","4","77","0"
"District 10 - Absentee","809","248","3","550","2"
"District 10 - Early Voting","426","134","5","255","2"
"District 10  - Question","59","31","1","32","1"
"District 11 - Absentee","1053","305","2","622","4"
"District 11 - Early Voting","637","163","1","276","1"
"District 11  - Question","97","27","2","50","0"
"District 12 - Absentee","687","255","7","492","1"
"District 12 - Early Voting","439","175","4","234","1"
"District 12  - Question","64","27","1","54","1"
"District 13 - Absentee","531","223","14","418","3"
"District 13 - Early Voting","382","130","8","208","2"
"District 13  - Question","74","20","1","33","2"
"District 14 - Absentee","560","303","4","547","2"
"District 14 - Early Voting","460","201","6","377","5"
"District 14  - Question","112","59","6","91","1"
"District 15 - Absentee","872","297","5","579","1"
"District 15 - Early Voting","563","157","1","234","1"
"District 15  - Question","95","26","1","74","0"
"District 16 - Absentee","835","322","7","645","1"
"District 16 - Early Voting","538","202","4","407","2"
"District 16  - Question","90","28","2","54","0"
"District 17 - Absentee","669","312","31","662","3"
"District 17 - Early Voting","624","304","25","593","5"
"District 17  - Question","82","58","8","83","2"
"District 18 - Absentee","367","132","6","219","1"
"District 18 - Early Voting","124","61","1","102","1"
"District 18  - Question","37","16","0","20","1"
"District 19 - Absentee","335","181","1","318","5"
"District 19 - Early Voting","180","98","1","165","1"
"District 19  - Question","73","32","2","66","1"
"District 2 - Absentee","1053","433","13","1206","5"
"District 2 - Early Voting","23","8","0","19","1"
"District 2  - Question","65","29","1","44","0"
"District 20 - Absentee","529","237","9","475","2"
"District 20 - Early Voting","323","129","3","229","2"
"District 20  - Question","102","47","1","59","3"
"District 21 - Absentee","779","314","20","648","4"
"District 21 - Early Voting","420","187","10","246","1"
"District 21  - Question","61","29","5","43","1"
"District 22 - Absentee","341","167","1","272","1"
"District 22 - Early Voting","234","77","2","130","1"
"District 22  - Question","43","23","3","38","3"
"District 23 - Absentee","1125","298","4","541","1"
"District 23 - Early Voting","832","210","4","334","2"
"District 23  - Question","82","26","0","35","2"
"District 24 - Absentee","853","197","12","370","4"
"District 24 - Early Voting","803","190","6","261","2"
"District 24  - Question","121","38","2","52","1"
"District 25 - Absentee","622","173","7","344","3"
"District 25 - Early Voting","1100","220","17","437","5"
"District 25  - Question","165","45","3","53","3"
"District 26 - Absentee","529","119","7","256","4"
"District 26 - Early Voting","946","155","3","311","3"
"District 26  - Question","132","31","4","64","3"
"District 27 - Absentee","486","118","1","251","1"
"District 27 - Early Voting","964","195","1","349","5"
"District 27  - Question","136","35","2","55","6"
"District 28 - Absentee","547","100","2","272","6"
"District 28 - Early Voting","1051","174","14","329","3"
"District 28  - Question","167","27","3","46","2"
"District 29 - Absentee","766","187","15","391","5"
"District 29 - Early Voting","961","192","7","293","3"
"District 29  - Question","111","37","9","64","3"
"District 3 - Absentee","772","332","3","680","3"
"District 3 - Early Voting","1024","315","2","731","0"
"District 3  - Question","117","42","2","58","0"
"District 30 - Early Voting - 1","416","84","3","175","4"
"District 30 - Early Voting - 2","6","7","0","12","0"
"District 30 - Question - 1","100","32","3","48","5"
"District 30 - Question - 2","28","11","0","10","0"
"District 31 - Absentee","367","133","1","301","1"
"District 31 - Early Voting","483","199","1","335","3"
"District 31  - Question","65","30","1","36","2"
"District 32 - Absentee","263","87","3","133","2"
"District 32 - Early Voting","238","86","1","127","1"
"District 32  - Question","65","24","2","19","2"
"District 33 - Absentee","404","141","6","211","2"
"District 33 - Early Voting","406","101","7","149","1"
"District 33  - Question","90","33","4","34","0"
"District 34 - Absentee","602","203","1","387","7"
"District 34 - Early Voting","684","258","3","439","4"
"District 34  - Question","110","42","2","63","4"
"District 35 - Absentee","559","193","1","393","2"
"District 35 - Early Voting","699","314","3","491","3"
"District 35  - Question","89","45","1","55","1"
"District 36 - Early Voting - 1","21","15","0","14","0"
"District 36 - Early Voting - 2","199","90","2","153","0"
"District 36 - Question - 1","34","7","1","19","1"
"District 36 - Question - 2","102","23","4","65","3"
"District 37 - Early Voting - 1 ","35","11","0","26","1"
"District 37  - Question - 1","37","19","1","23","0"
"District 37  - Question - 2","6","1","0","2","0"
"District 38 - Absentee","146","81","0","127","2"
"District 38 - Early Voting","25","13","0","16","0"
"District 38  - Question","74","32","1","61","5"
"District 39 - Early Voting - 1","98","43","0","65","2"
"District 39 - Early Voting - 2","10","6","0","1","0"
"District 39  - Question - 1","29","10","1","21","1"
"District 39  - Question - 2","21","1","0","5","0"
"District 4 - Absentee","510","231","7","641","5"
"District 4 - Early Voting","917","430","9","1005","5"
"District 4  - Question","118","71","1","113","0"
"District 40 - Absentee","90","56","5","86","0"
"District 40 - Early Voting","17","11","2","8","0"
"District 40  - Question","46","24","2","35","2"
"District 5 - Absentee","893","331","29","659","5"
"District 5 - Early Voting","16","12","1","8","0"
"District 5  - Question","78","36","5","46","1"
"District 6 - Absentee","886","362","7","750","2"
"District 6 - Early Voting","814","351","1","704","6"
"District 6  - Question","89","33","3","62","1"
"District 7 - Absentee","1055","209","4","560","9"
"District 7 - Early Voting","512","82","2","272","2"
"District 7  - Question","67","25","0","36","0"
"District 8 - Absentee","1131","234","20","575","6"
"District 8 - Early Voting","565","91","6","238","2"
"District 8  - Question","59","14","2","20","1"
"District 9 - Absentee","1364","402","25","778","2"
"District 9 - Early Voting","810","238","9","384","4"
"District 9  - Question","98","40","3","53","1"
"HD99 Fed Overseas Absentee","39","16","0","49","0"
"House District 30 - Judicial District 3","843","226","7","531","7"
"House District 30 - Judicial District 4","135","61","3","101","1"
"House District 36 - Judicial District 3","228","75","4","152","1"
"House District 36 - Judicial District 4","611","172","12","374","6"
"House District 37 - Judicial District 3","353","100","15","260","6"
"House District 37 - Judicial District 4","13","4","0","8","0"
"House District 39 - Judicial District 2","75","25","0","74","0"
"House District 39 - Judicial District 4","22","5","0","16","0"
"Total","142798","43180","1779","78443","597"
