"1","Overvote","Exhausted","Palin","Peltola","Blank"
"01-600 Ketchikan No. 1","0","36","133","218","14"
"01-610 Ketchikan No. 2","1","48","189","255","11"
"01-620 Ketchikan No. 3","0","81","173","147","2"
"01-640 North Tongass No. 1","0","44","143","98","8"
"01-650 North Tongass No. 2","2","67","296","210","16"
"01-660 Saxman","0","11","25","33","6"
"01-670 South Tongass","0","55","210","187","4"
"01-675 Coffman Cove","0","7","51","17","1"
"01-680 Metlakatla","1","6","34","96","5"
"01-690 Wrangell","0","44","297","168","7"
"02-700 Angoon","1","7","9","65","1"
"02-705 Craig","0","21","100","101","2"
"02-720 Hoonah","0","21","68","76","2"
"02-725 Hydaburg","1","2","7","28","3"
"02-730 Kake","0","3","23","63","1"
"02-735 Kasaan","0","0","10","7","1"
"02-740 Klawock","0","14","110","73","1"
"02-750 Pelican-Elfin Cove","0","2","11","10","0"
"02-755 Petersburg-Kupreanof","0","55","344","314","12"
"02-760 Port Alexander","0","0","5","12","0"
"02-765 Sitka No. 1","1","43","281","483","8"
"02-770 Sitka No. 2","1","33","252","608","17"
"02-775 Tenakee Springs","1","1","9","43","0"
"02-780 Thorne Bay","0","3","95","20","2"
"02-785 Yakutat","0","9","42","84","2"
"03-300 Auke Bay","1","37","194","368","8"
"03-305 Lynn Canal","0","24","159","396","3"
"03-310 Melvin Park","0","42","151","316","3"
"03-315 Mendenhall Glacier","0","44","330","492","7"
"03-320 Thunder Mountain","0","40","280","437","6"
"03-325 Gustavus","0","0","47","128","0"
"03-330 Haines No. 1","0","33","204","369","11"
"03-335 Haines No. 2","0","6","43","54","6"
"03-340 Klukwan","0","1","4","32","4"
"03-345 Skagway","0","18","63","254","15"
"04-100 Douglas","0","30","87","464","7"
"04-105 Juneau Airport Area","0","21","99","149","5"
"04-110 Juneau No. 1","1","32","120","413","7"
"04-115 Juneau No. 2","1","12","53","660","10"
"04-120 Juneau No. 3","0","16","52","257","4"
"04-125 Lemon Creek","1","21","126","218","7"
"04-130 Glacier Valley Area","1","18","142","215","6"
"04-135 North Douglas","1","18","99","426","4"
"05-800 Chiniak","0","0","12","22","0"
"05-810 Flats","0","12","125","129","8"
"05-815 Kodiak Island South","0","2","7","6","1"
"05-820 Kodiak No. 1","1","22","154","199","11"
"05-825 Kodiak No. 2","0","17","179","148","10"
"05-830 Mission Road","2","62","431","353","9"
"05-835 Old Harbor","1","3","3","13","0"
"05-840 Ouzinkie","0","5","9","27","0"
"05-845 Port Lions","0","5","23","13","2"
"05-860 Cordova","0","16","156","281","14"
"05-865 Seward-Lowell Point","0","31","181","299","9"
"05-870 Tatitlek","0","2","1","7","1"
"06-200 Anchor Point","0","35","513","222","19"
"06-210 Diamond Ridge","0","35","179","278","7"
"06-220 Fox River","0","10","112","96","4"
"06-230 Homer No. 1","1","51","319","416","16"
"06-240 Homer No. 2","1","24","294","335","13"
"06-250 Kachemak-Fritz Creek","0","39","302","441","19"
"06-260 Kasilof","0","65","700","318","20"
"06-270 Ninilchik","0","32","355","166","28"
"06-280 Seldovia-Kachemak Bay","0","13","64","88","1"
"07-005 Central","0","41","488","163","12"
"07-015 Kenai No. 1","0","56","408","205","10"
"07-020 Kenai No. 2","0","31","235","130","11"
"07-025 Kenai No. 3","0","40","245","118","7"
"07-030 Soldotna","1","61","565","277","20"
"07 010 K Beach","1","102","587","199","5"
"08-035 Bear Creek","0","20","257","229","6"
"08-040 Cooper Landing","0","16","54","79","8"
"08-045 Funny River No. 1","0","28","259","108","12"
"08-050 Funny River No. 2","0","29","206","81","7"
"08-055 Hope","0","3","13","48","1"
"08-060 Mackey Lake","2","51","476","166","13"
"08-065 Moose Pass","0","8","56","64","4"
"08-070 Nikiski","0","55","522","118","19"
"08-075 Salamatof","0","66","537","139","21"
"08-080 Sterling No. 1","0","56","528","146","6"
"08-085 Sterling No. 2","0","59","596","155","12"
"09-105 Girdwood","1","18","96","522","7"
"09-110 Indian","0","8","40","83","1"
"09-115 South Anchorage No. 1","1","55","446","492","20"
"09-120 South Anchorage No. 2","0","85","553","555","16"
"09-125 South Anchorage No. 3","1","85","461","508","6"
"09-130 South Anchorage No. 4","2","97","475","547","11"
"09-135 South Anchorage No. 5","1","32","205","237","4"
"09-140 Stuckagain Heights","0","8","61","120","0"
"09-145 Whittier","0","4","32","25","6"
"10-150 Dimond","0","14","206","195","3"
"10-155 Oceanview No. 1","1","48","370","383","10"
"10-160 Oceanview No. 2","1","48","262","332","4"
"10-165 Oceanview No. 3","0","35","339","348","10"
"10-170 Oceanview No. 4","0","62","336","383","7"
"10-175 Oceanview No. 5","0","38","231","253","7"
"11-205 Hillside No. 1","0","8","154","171","4"
"11-210 Hillside No. 2","0","59","403","428","4"
"11-215 Hillside No. 3","1","45","265","245","9"
"11-220 Hillside No. 4","0","34","322","224","3"
"11-225 Hillside No. 5","0","47","297","313","2"
"11-230 Hillside No. 6","1","75","354","413","4"
"11-235 Hillside No. 7","0","37","255","358","8"
"12-250 Southeast Anchorage No. 1","3","19","244","283","9"
"12-255 Southeast Anchorage No. 2","0","21","181","184","9"
"12-260 Southeast Anchorage No. 3","1","23","245","280","8"
"12-265 Southeast Anchorage No. 4","0","23","245","320","2"
"12-270 Southeast Anchorage No. 5","0","36","294","403","25"
"12-275 Southeast Anchorage No. 6","0","38","271","485","8"
"13-305 South Midtown No. 1","0","6","65","63","3"
"13-310 South Midtown No. 2","0","45","327","346","11"
"13-315 South Midtown No. 3","3","53","366","434","11"
"13-320 South Midtown No. 4","1","26","265","316","7"
"13-325 South Midtown No. 5","0","31","269","407","21"
"14-350 North Midtown No. 1","1","8","72","180","3"
"14-355 North Midtown No. 2","0","16","97","184","2"
"14-360 North Midtown No. 3","0","12","88","108","2"
"14-365 North Midtown No. 4","1","10","86","200","10"
"14-370 North Midtown No. 5","0","22","212","330","6"
"14-375 North Midtown No. 6","0","26","149","251","2"
"14-380 North Midtown No. 7","1","43","271","679","11"
"15-405 Southwest Anchorage No. 1","1","33","248","257","5"
"15-410 Southwest Anchorage No. 2","0","43","279","318","10"
"15-415 Southwest Anchorage No. 3","0","54","381","370","8"
"15-420 Southwest Anchorage No. 4","0","25","226","270","5"
"15-425 Southwest Anchorage No. 5","2","46","253","369","8"
"15-430 Southwest Anchorage No. 6","0","68","492","536","2"
"16-450 West Anchorage No. 1","1","38","177","564","7"
"16-455 West Anchorage No. 2","0","26","203","428","2"
"16-460 West Anchorage No. 3","0","39","272","521","9"
"16-465 West Anchorage No. 4","0","30","166","195","3"
"16-470 West Anchorage No. 5","1","49","324","426","15"
"16-475 West Anchorage No. 6","0","43","267","339","16"
"16-480 West Anchorage No. 7","0","21","176","259","3"
"17-505 Downtown Anchorage No. 1","0","18","108","328","4"
"17-510 Downtown Anchorage No. 2","0","23","105","464","10"
"17-515 Downtown Anchorage No. 3","1","21","91","285","2"
"17-520 Downtown Anchorage No. 4","1","24","143","373","5"
"17-525 Downtown Anchorage No. 5","0","16","91","257","7"
"17-530 Downtown Anchorage No. 6","0","11","64","122","1"
"17-535 Downtown Anchorage No. 7","0","15","105","193","5"
"18-550 Government Hill","0","14","94","199","4"
"18-555 JBER","1","10","163","99","4"
"18-560 North Muldoon","1","11","77","133","3"
"18-565 Ship Creek","0","1","26","49","0"
"19-605 Airport Heights No. 1","0","30","164","524","7"
"19-610 Airport Heights No. 2","1","24","181","280","16"
"19-615 Mountainview No. 1","0","6","63","109","0"
"19-620 Mountainview No. 2","0","11","66","88","2"
"19-625 South Mountainview","0","19","118","146","5"
"20-650 University No. 1","1","6","47","87","4"
"20-655 University No. 2","2","18","203","260","5"
"20-660 University No. 3","2","27","214","449","8"
"20-665 University No. 4","0","17","95","221","2"
"20-670 University No. 5","2","48","436","574","6"
"21-705 East Anchorage No. 1","4","37","220","382","7"
"21-710 East Anchorage No. 2","0","56","344","330","6"
"21-715 East Anchorage No. 3","1","34","367","372","15"
"21-720 East Anchorage No. 4","1","37","281","440","6"
"21-725 East Anchorage No. 5","0","38","428","524","13"
"22-750 Northeast Anchorage No. 1","0","25","209","245","4"
"22-755 Northeast Anchorage No. 2","0","28","216","192","5"
"22-760 Northeast Anchorage No. 3","0","39","268","295","8"
"22-765 Northeast Anchorage No. 4","0","15","153","170","8"
"23-805 Chugach Park No. 1","0","65","561","473","12"
"23-810 Eagle River No. 1","0","56","363","247","16"
"23-815 Eagle River No. 2","0","37","289","313","4"
"23-820 Hiland","0","43","348","276","6"
"23-825 Meadow Creek No. 1","0","58","355","288","20"
"23-830 Meadow Creek No. 2","0","21","257","154","2"
"24-850 Chugach Park No. 2","1","64","404","252","3"
"24-855 Chugiak","1","17","184","121","5"
"24-860 Eagle River No. 3","0","37","278","163","13"
"24-865 Eklutna","1","48","369","270","17"
"24-870 Fire Lake","1","45","428","260","5"
"24-875 Peters Creek No. 1","1","81","565","325","9"
"24-880 Peters Creek No. 2","0","43","300","173","9"
"25-305 Butte","2","76","627","278","24"
"25-310 Greater Palmer","0","24","267","168","4"
"25-315 Lazy Mountain","1","55","408","217","9"
"25-320 Palmer City No. 1","0","33","284","233","5"
"25-325 Palmer City No. 2","0","26","201","125","4"
"25-330 Springer Loop","2","62","386","216","11"
"25-335 Walby","1","47","433","150","9"
"26-350 Fairview No. 1","0","33","339","67","9"
"26-355 Fairview No. 2","0","20","185","73","5"
"26-360 Knik Goose Bay No. 1","1","44","588","164","7"
"26-365 Knik Goose Bay No. 2","0","26","383","116","10"
"26-370 Knik Goose Bay No. 3","1","11","188","77","7"
"26-375 Mat-Su Campus","1","42","317","156","4"
"26-380 Snowshoe","0","73","590","165","24"
"27-405 Foothills","0","34","349","87","3"
"27-410 Meadow Lakes No. 1","0","40","534","158","11"
"27-415 Meadow Lakes No. 2","0","36","480","130","14"
"27-420 Wasilla No. 1","1","38","396","178","6"
"27-425 Wasilla No. 2","0","41","537","182","11"
"28-450 Lakes No. 1","0","32","359","134","2"
"28-455 Lakes No. 2","0","22","257","102","5"
"28-460 Seldon No. 1","1","43","456","132","4"
"28-465 Seldon No. 2","0","53","516","249","13"
"28-470 Seward Meridian","0","29","237","80","4"
"28-475 Trunk","1","25","405","173","13"
"28-480 Wasilla Lake","0","13","228","79","3"
"29-505 Farm Loop","0","51","543","236","30"
"29-510 Fishhook","1","62","712","308","11"
"29-515 Kings Lake","0","42","500","183","11"
"29-520 Lakes No. 3","0","17","195","84","4"
"29-525 Sheep Mountain","0","6","75","31","0"
"29-530 Sutton","0","30","210","134","5"
"29-535 Valdez No. 1","1","24","163","147","7"
"29-540 Valdez No. 2","2","4","95","82","5"
"29-545 Valdez No. 3","0","13","133","90","24"
"30-550 Anderson/Clear","0","6","69","28","2"
"30-555 Big Lake","2","82","694","230","17"
"30-560 Cantwell","0","5","35","38","2"
"30-565 Denali Park","0","3","8","83","0"
"30-570 East Schrock","0","2","43","16","0"
"30-575 Healy","0","14","137","147","3"
"30-580 Houston","0","20","331","99","14"
"30-585 Knik Goose Bay No. 4","5","48","606","173","17"
"30-590 Trapper Creek","2","12","111","34","7"
"30-595 Susitna","0","17","246","112","12"
"30-600 Talkeetna","0","16","103","220","8"
"30-605 Willow","2","47","531","254","14"
"31-446 Aurora","0","38","344","305","11"
"31-455 Fairbanks No. 1","1","60","319","401","9"
"31-480 Fairbanks No. 2","0","59","331","343","4"
"31-485 Fairbanks No. 3","1","17","238","217","14"
"32-355 Fairbanks No. 4","0","18","258","217","13"
"32-365 Fairbanks No. 5","0","22","233","180","8"
"32-375 Fort Wainwright","0","0","40","12","2"
"32-385 Badger No. 2","0","36","471","174","14"
"33-130 Badger No. 1","0","48","495","216","13"
"33-135 Chena Lakes","1","38","488","135","11"
"33-155 Moose Creek","0","6","70","16","0"
"33-165 Newby","1","47","577","175","28"
"33-175 North Pole","0","21","270","100","10"
"33-183 Plack","2","32","542","134","12"
"34-235 Eielson","0","4","57","30","1"
"34-238 Eielson Farm Road","0","4","28","7","0"
"34-240 Farmers Loop","0","32","265","438","23"
"34-260 Salcha","0","23","283","73","8"
"34-263 Steele Creek","2","44","472","379","12"
"34-265 Steese ","0","48","439","317","6"
"34-270 Summit","0","56","427","345","20"
"34-280 Two Rivers","0","17","234","124","7"
"35-580 Airport","0","14","138","85","3"
"35-582 Chena","0","55","526","664","21"
"35-584 Ester","0","15","149","326","2"
"35-586 Geist","0","12","163","242","12"
"35-587 Lakeview","0","6","62","29","2"
"35-592 Shanly","0","12","136","204","2"
"35-595 University Hills","0","17","134","354","11"
"35-596 University West","1","57","411","537","12"
"36-001 Goldstream No. 1","0","19","186","333","8"
"36-002 Goldstream No. 2","2","10","156","468","12"
"36-010 Allakaket","0","2","6","16","12"
"36-018 Arctic Village","1","0","3","11","4"
"36-022 Beaver","0","0","3","13","2"
"36-026 Bettles","0","0","8","5","0"
"36-034 Central","0","3","27","8","3"
"36-038 Chistochina","1","2","34","17","2"
"36-042 Circle","0","3","1","9","2"
"36-046 Copper Center","2","14","131","78","11"
"36-050 Delta Junction","1","6","176","35","5"
"36-054 Deltana","1","53","573","131","14"
"36-058 Dot Lake","0","1","27","2","2"
"36-062 Eagle","0","9","42","14","1"
"36-066 Fort Yukon","0","13","13","40","5"
"36-070 Gakona","1","7","42","32","2"
"36-074 Galena","1","8","31","75","2"
"36-078 Glennallen","0","7","90","27","3"
"36-090 Hughes","1","1","6","21","3"
"36-094 Huslia","0","4","8","56","2"
"36-098 Kaltag","0","6","12","21","1"
"36-102 Kenny Lake","0","7","78","34","3"
"36-106 Koyukuk","0","2","3","14","1"
"36-110 Manley","0","0","34","12","1"
"36-114 McGrath","0","8","29","32","2"
"36-118 Mentasta","0","2","11","14","1"
"36-122 Minto","0","3","10","22","0"
"36-126 Nenana","0","19","108","92","5"
"36-130 Nikolai","0","2","4","21","2"
"36-134 Northway","0","5","12","16","7"
"36-138 Nulato","0","8","6","36","2"
"36-142 Ruby","0","5","4","10","13"
"36-146 Shageluk","0","0","1","6","0"
"36-162 Tanana","1","0","3","39","8"
"36-166 Tetlin","0","0","7","7","1"
"36-170 Tok","0","24","259","103","6"
"37-700 Akutan","0","10","38","21","10"
"37-702 Aleknagik","0","0","5","13","1"
"37-704 Aleutians No. 1","0","2","8","5","0"
"37-706 Aleutians No. 2","4","11","135","128","12"
"37-707 Aniak","0","2","11","46","0"
"37-708 Chignik","0","1","8","8","0"
"37-709 Chuathbaluk","0","1","5","6","1"
"37-710 Clark's Point","0","0","2","6","0"
"37-712 Cold Bay","0","0","3","5","0"
"37-713 Crooked Creek","0","0","0","6","3"
"37-714 Dillingham","0","16","103","220","0"
"37-716 Egegik","0","1","3","1","0"
"37-718 Ekwok","1","1","12","11","1"
"37-719 Goodnews Bay","0","3","7","21","2"
"37-720 King Cove","0","6","15","21","3"
"37-722 King Salmon","0","7","64","21","2"
"37-724 Koliganek","0","3","11","16","7"
"37-726 Lake Iliamna No. 1","2","4","26","15","6"
"37-728 Lake Iliamna No. 2","1","4","3","11","1"
"37-730 Levelock","0","0","1","14","0"
"37-731 Lower Kalskag","0","0","11","24","2"
"37-732 Manokotak","4","2","13","18","1"
"37-734 Naknek","1","14","39","41","3"
"37-736 New Stuyahok","1","7","6","56","5"
"37-738 Nondalton","0","3","1","12","2"
"37-740 Pedro Bay","0","2","5","2","0"
"37-742 Port Heiden","0","0","6","8","0"
"37-744 Sand Point","1","3","37","19","2"
"37-746 Sleetmute","0","1","3","11","0"
"37-748 South Naknek","0","3","2","8","1"
"37-750 St. George Island","0","3","0","3","1"
"37-752 St. Paul Island","0","16","7","37","7"
"37-754 Togiak","4","3","18","36","3"
"37-756 Tyonek","0","4","2","19","0"
"37-758 Upper Kalskag","1","1","5","17","6"
"38-800 Akiachak","1","2","4","43","4"
"38-802 Akiak","0","0","9","31","4"
"38-808 Bethel No. 1","0","6","53","224","6"
"38-810 Bethel No. 2","0","23","72","270","2"
"38-812 Chefornak","2","3","10","50","2"
"38-813 Chevak","0","5","14","66","1"
"38-818 Eek","1","4","12","31","2"
"38-822 Kasigluk","3","3","6","43","3"
"38-824 Kipnuk","1","5","9","41","3"
"38-826 Kongiganak","0","0","8","50","0"
"38-828 Kwethluk","2","2","4","82","4"
"38-830 Kwigillingok","0","1","5","21","11"
"38-836 Mekoryuk","1","0","9","24","6"
"38-838 Napakiak","0","1","8","40","0"
"38-840 Napaskiak","0","0","4","45","0"
"38-842 Newtok","2","0","4","10","0"
"38-846 Nunapitchuk","0","1","16","30","0"
"38-848 Quinhagak","1","2","23","56","0"
"38-852 Toksook Bay","2","0","12","67","2"
"38-854 Tuluksak","4","1","11","37","0"
"38-856 Tuntutuliak","2","3","8","49","0"
"39-900 Alakanuk","0","2","5","33","1"
"39-902 Brevig Mission","0","5","11","34","12"
"39-908 Elim","0","3","19","17","4"
"39-910 Emmonak","2","2","13","58","1"
"39-912 Gambell","0","16","16","20","7"
"39-914 Golovin","0","0","8","29","0"
"39-918 Kotlik","1","1","15","34","3"
"39-920 Koyuk","0","5","14","22","1"
"39-921 Marshall","0","1","12","57","0"
"39-922 Mountain Village","0","3","12","42","2"
"39-924 Nome No. 1","0","9","76","150","1"
"39-926 Nome No. 2","2","19","108","264","7"
"39-928 Nunam Iqua","1","0","1","15","1"
"39-930 Pilot Station","1","1","5","29","0"
"39-931 Russian Mission","1","1","5","32","1"
"39-932 Savoonga","3","3","14","90","3"
"39-934 Scammon Bay","1","3","4","59","3"
"39-936 Shaktoolik","1","4","18","31","6"
"39-938 Shishmaref","2","5","27","75","23"
"39-940 St. Mary's","0","1","9","81","0"
"39-942 St. Michael","1","8","11","21","2"
"39-944 Stebbins","3","6","8","35","4"
"39-948 Unalakleet","1","8","31","124","25"
"39-950 Wales","0","2","2","3","3"
"39-952 White Mountain","1","7","15","30","4"
"40-002 Ambler","2","1","12","16","3"
"40-004 Anaktuvuk Pass","1","0","8","11","3"
"40-006 Atqasuk","0","5","3","7","7"
"40-008 Utqiagvik","0","6","26","63","19"
"40-010 Browerville","2","8","86","155","59"
"40-012 Buckland","0","1","5","26","6"
"40-014 Deering","0","0","4","18","0"
"40-018 Kiana","0","5","16","22","1"
"40-020 Kivalina","0","1","14","15","0"
"40-022 Kobuk","0","2","8","6","0"
"40-024 Kotzebue","0","10","78","204","19"
"40-026 Noatak","0","9","18","27","2"
"40-028 Noorvik","0","3","28","31","3"
"40-030 Nuiqsut","2","8","8","7","3"
"40-032 Point Hope","0","4","17","33","7"
"40-034 Point Lay","0","1","9","6","0"
"40-036 Selawik","0","5","23","31","0"
"40-038 Shungnak","0","3","10","22","2"
"40-040 Wainwright","0","1","29","31","2"
"District 1 - Absentee","4","81","330","357","12"
"District 1 - Early Voting","0","0","4","6","0"
"District 1  - Question","1","11","73","102","4"
"District 10 - Absentee","1","49","323","503","17"
"District 10 - Early Voting","0","24","149","205","2"
"District 10  - Question","0","2","66","59","3"
"District 11 - Absentee","4","60","335","628","16"
"District 11 - Early Voting","2","35","212","302","0"
"District 11  - Question","0","4","60","66","1"
"District 12 - Absentee","2","33","189","447","10"
"District 12 - Early Voting","3","15","124","226","3"
"District 12  - Question","1","8","46","66","5"
"District 13 - Absentee","3","13","180","356","12"
"District 13 - Early Voting","1","15","121","187","2"
"District 13  - Question","0","4","41","63","2"
"District 14 - Absentee","4","33","148","509","9"
"District 14 - Early Voting","1","30","149","427","3"
"District 14  - Question","3","13","86","145","5"
"District 15 - Absentee","5","59","287","559","12"
"District 15 - Early Voting","0","19","151","273","3"
"District 15  - Question","0","10","65","79","9"
"District 16 - Absentee","2","55","222","646","14"
"District 16 - Early Voting","0","18","164","416","4"
"District 16  - Question","0","4","40","53","2"
"District 17 - Absentee","1","33","142","629","12"
"District 17 - Early Voting","1","35","181","720","6"
"District 17  - Question","3","5","60","104","6"
"District 18 - Absentee","1","17","86","123","3"
"District 18 - Early Voting","1","2","39","92","1"
"District 18  - Question","1","6","33","32","1"
"District 19 - Absentee","1","8","89","244","4"
"District 19 - Early Voting","1","7","50","195","1"
"District 19  - Question","1","5","47","89","4"
"District 2 - Absentee","3","61","460","673","39"
"District 2 - Early Voting","0","1","6","26","0"
"District 2  - Question","0","7","45","53","5"
"District 20 - Absentee","0","25","187","435","4"
"District 20 - Early Voting","2","13","109","201","0"
"District 20  - Question","0","8","41","104","7"
"District 21 - Absentee","3","45","278","579","11"
"District 21 - Early Voting","0","21","137","270","4"
"District 21  - Question","1","4","36","72","4"
"District 22 - Absentee","4","18","113","200","10"
"District 22 - Early Voting","3","12","93","89","0"
"District 22  - Question","1","2","24","49","1"
"District 23 - Absentee","0","59","454","479","15"
"District 23 - Early Voting","0","40","309","305","5"
"District 23  - Question","0","6","47","35","2"
"District 24 - Absentee","1","60","340","342","9"
"District 24 - Early Voting","1","25","303","232","6"
"District 24  - Question","1","8","96","65","7"
"District 25 - Absentee","2","33","287","225","9"
"District 25 - Early Voting","1","69","460","434","21"
"District 25  - Question","2","19","176","80","13"
"District 26 - Absentee","1","31","275","137","13"
"District 26 - Early Voting","0","42","417","184","9"
"District 26  - Question","0","7","127","36","10"
"District 27 - Absentee","0","26","246","158","8"
"District 27 - Early Voting","3","69","434","191","10"
"District 27  - Question","3","14","155","67","8"
"District 28 - Absentee","1","36","280","160","10"
"District 28 - Early Voting","2","75","472","239","5"
"District 28  - Question","0","14","173","49","1"
"District 29 - Absentee","2","43","322","274","20"
"District 29 - Early Voting","0","41","432","221","14"
"District 29  - Question","2","7","104","65","8"
"District 3 - Absentee","2","32","207","596","13"
"District 3 - Early Voting","1","49","197","669","7"
"District 3  - Question","1","11","67","139","6"
"District 30 - Absentee","4","36","384","354","10"
"District 30 - Early Voting","1","29","200","99","3"
"District 30  - Question","1","17","128","55","7"
"District 31 - Absentee","0","25","154","176","9"
"District 31 - Early Voting","1","19","168","253","8"
"District 31  - Question","3","9","48","57","1"
"District 32 - Absentee","1","12","101","63","7"
"District 32 - Early Voting","1","12","86","98","3"
"District 32  - Question","1","3","44","33","5"
"District 33 - Absentee","3","21","192","98","4"
"District 33 - Early Voting","1","14","142","113","7"
"District 33  - Question","1","2","61","19","5"
"District 34 - Absentee","1","45","218","303","6"
"District 34 - Early Voting","5","38","225","401","8"
"District 34  - Question","0","7","90","53","7"
"District 35 - Absentee","0","17","119","301","11"
"District 35 - Early Voting","0","18","150","489","5"
"District 35  - Question","2","4","68","142","5"
"District 36 - Absentee","5","55","392","346","33"
"District 36 - Early Voting","1","8","87","153","0"
"District 36  - Question","3","14","132","93","18"
"District 37 - Absentee","2","22","115","189","11"
"District 37 - Early Voting","0","2","7","13","0"
"District 37  - Question","0","7","41","49","2"
"District 38 - Absentee","1","2","29","83","5"
"District 38 - Early Voting","0","0","1","9","0"
"District 38  - Question","1","3","32","88","13"
"District 39 - Absentee","1","3","20","49","4"
"District 39 - Early Voting","0","0","20","35","0"
"District 39  - Question","0","3","21","38","5"
"District 4 - Absentee","1","28","103","480","13"
"District 4 - Early Voting","2","40","169","907","7"
"District 4  - Question","3","20","70","219","2"
"District 40 - Absentee","0","3","27","70","7"
"District 40 - Early Voting","0","2","2","9","0"
"District 40  - Question","2","1","31","53","6"
"District 5 - Absentee","1","60","312","522","22"
"District 5 - Early Voting","0","1","9","14","0"
"District 5  - Question","1","10","63","90","3"
"District 6 - Absentee","0","48","379","487","19"
"District 6 - Early Voting","1","29","241","624","9"
"District 6  - Question","0","12","90","91","6"
"District 7 - Absentee","2","86","470","338","22"
"District 7 - Early Voting","0","42","191","174","4"
"District 7  - Question","2","9","96","39","6"
"District 8 - Absentee","2","47","434","317","21"
"District 8 - Early Voting","0","38","235","140","5"
"District 8  - Question","1","8","68","32","5"
"District 9 - Absentee","4","85","437","865","21"
"District 9 - Early Voting","1","38","296","486","1"
"District 9  - Question","0","11","75","96","5"
"HD99 Fed Overseas Absentee","0","0","3","29","1"
"Total","346","11243","86024","91265","3411"
